"FileName","Population","Lambda","N","Transitions","group_size","average","average_SE","population_sd","MSE","Coverage","Power","Reps_Used","Parameter_Bias_boot","SE_Bias_boot","Parameter_Bias","SE_Bias","Power_Dic","Coverage_Dic"
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0",0.2,0,"N = 500","Mover",580,0.2,0.047,0.045,0.002,0.962,0.991,580,0,4.44,0.22,6.20218,1,1
"rilta_lta_n_500_tp_-1.385_th_1_lambda_1",0.2,1,"N = 500","Mover",539,0.531,0.048,0.045,0.112,0,1,539,165.5,6.67,165.7165,5.71725,1,0
"rilta_lta_n_500_tp_0.41_th_1_lambda_0.2",0.6,0.2,"N = 500","Stayer",558,0.609,0.05,0.051,0.003,0.939,1,558,1.5,-1.96,1.54383,-1.61189,1,1
"rilta_lta_n_500_tp_0.41_th_1_lambda_0.4",0.6,0.4,"N = 500","Stayer",536,0.635,0.049,0.047,0.003,0.886,1,536,5.83,4.26,5.75996,4.78063,1,0
"rilta_lta_n_500_tp_0.41_th_1_lambda_0.6",0.6,0.6,"N = 500","Stayer",651,0.673,0.047,0.049,0.008,0.639,1,651,12.17,-4.08,12.21671,-3.25915,1,0
"rilta_lta_n_500_tp_0.41_th_1_lambda_0.8",0.6,0.8,"N = 500","Stayer",673,0.715,0.045,0.046,0.015,0.294,1,673,19.17,-2.17,19.25161,-3.11926,1,0
"rilta_lta_n_500_tp_0.41_th_1_lambda_0",0.6,0,"N = 500","Stayer",565,0.599,0.05,0.049,0.002,0.956,1,565,-0.17,2.04,-0.091,4.31608,1,1
"rilta_lta_n_500_tp_0.41_th_1_lambda_1",0.6,1,"N = 500","Stayer",585,0.763,0.041,0.042,0.028,0.039,1,585,27.17,-2.38,27.1527,-1.44393,1,0
"rilta_lta_n_500_tp_0.85_th_1_lambda_0.2",0.7,0.2,"N = 500","Stayer",585,0.708,0.047,0.047,0.002,0.935,1,585,1.14,0,1.08322,0.12813,1,1
"rilta_lta_n_500_tp_0.85_th_1_lambda_0.4",0.7,0.4,"N = 500","Stayer",541,0.722,0.046,0.047,0.003,0.891,1,541,3.14,-2.13,3.09071,-2.73413,1,0
"rilta_lta_n_500_tp_0.85_th_1_lambda_0.6",0.7,0.6,"N = 500","Stayer",525,0.75,0.044,0.046,0.005,0.766,1,525,7.14,-4.35,7.11504,-4.21555,1,0
"rilta_lta_n_500_tp_0.85_th_1_lambda_0.8",0.7,0.8,"N = 500","Stayer",634,0.782,0.042,0.043,0.009,0.503,1,634,11.71,-2.33,11.69285,-2.62344,1,0
"rilta_lta_n_500_tp_0.85_th_1_lambda_0",0.7,0,"N = 500","Stayer",555,0.702,0.047,0.05,0.002,0.93,1,555,0.29,-6,0.23924,-4.80452,1,1
